label,variable,group,Estimate,StdError,LowerCI,UpperCI,RVI
intercept,intercept,Intercept,-18.1,5.7,-29.3,-6.9,
Positive events in period,events_pos_periodmax,Frequency and Periodicity,0.0,0.2,-0.5,0.5,1
Maximum negative power,maxpower_neg,Intensity,0.6,0.2,0.2,1.1,1
Mean SST,meanSST,Trend,0.7,0.2,0.4,1.0,1
Maximum positive power,maxpower_events_pos,Intensity,0.0,0.5,-1.1,1.0,<0.02
Period of negative events,period_events_neg,Frequency and Periodicity,0.6,0.2,0.2,0.9,<0.02
Trend SST,trendSST,Trend,-13.8,16.4,-45.9,18.3,<0.02
Cumulative DHM (satellite),CummDHM_sat,Threshold,4.1,3.2,-2.2,10.3,<0.02
,,,,,,,
